GAT(
  (gat_layers): ModuleList(
    (0): GATConv(
      (fc): Linear(in_features=500, out_features=64, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
    (1): GATConv(
      (fc): Linear(in_features=64, out_features=24, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
  )
)
Epoch 00000 | Time(s) nan | Loss 1.0983 | TrainAcc 0.3500 | ValAcc 0.4060 | f1-score 0.2920 |ETputs(KTEPS) nan| GPU : 139.7 MB 
Epoch 00030 | Time(s) 0.0140 | Loss 0.9246 | TrainAcc 0.8833 | ValAcc 0.7300 | f1-score 0.7140 |ETputs(KTEPS) 7739.24| GPU : 140.1 MB 
Epoch 00031 | Time(s) 0.0140 | Loss 0.9206 | TrainAcc 0.8500 | ValAcc 0.7320 | f1-score 0.7280 |ETputs(KTEPS) 7748.14| GPU : 140.1 MB 
Epoch 00032 | Time(s) 0.0139 | Loss 0.8985 | TrainAcc 0.8833 | ValAcc 0.7340 | f1-score 0.7260 |ETputs(KTEPS) 7775.75| GPU : 140.1 MB 
Epoch 00033 | Time(s) 0.0138 | Loss 0.8885 | TrainAcc 0.9000 | ValAcc 0.7360 | f1-score 0.7220 |ETputs(KTEPS) 7840.55| GPU : 140.1 MB 
Epoch 00034 | Time(s) 0.0138 | Loss 0.8959 | TrainAcc 0.9000 | ValAcc 0.7360 | f1-score 0.7340 |ETputs(KTEPS) 7829.86| GPU : 140.1 MB 
Epoch 00035 | Time(s) 0.0139 | Loss 0.8641 | TrainAcc 0.9000 | ValAcc 0.7360 | f1-score 0.7140 |ETputs(KTEPS) 7807.23| GPU : 140.1 MB 
Epoch 00036 | Time(s) 0.0139 | Loss 0.8564 | TrainAcc 0.9000 | ValAcc 0.7360 | f1-score 0.7280 |ETputs(KTEPS) 7821.62| GPU : 140.1 MB 
Epoch 00037 | Time(s) 0.0138 | Loss 0.8483 | TrainAcc 0.9333 | ValAcc 0.7380 | f1-score 0.7240 |ETputs(KTEPS) 7828.83| GPU : 140.1 MB 
Epoch 00038 | Time(s) 0.0139 | Loss 0.8335 | TrainAcc 0.8833 | ValAcc 0.7400 | f1-score 0.7100 |ETputs(KTEPS) 7798.60| GPU : 140.1 MB 
Epoch 00039 | Time(s) 0.0140 | Loss 0.8008 | TrainAcc 0.9000 | ValAcc 0.7400 | f1-score 0.7080 |ETputs(KTEPS) 7742.25| GPU : 140.1 MB 
