SAGE(
  (layers): ModuleList(
    (0): SAGEConv(
      (feat_drop): Dropout(p=0.0, inplace=False)
      (fc_self): Linear(in_features=3703, out_features=32, bias=True)
      (fc_neigh): Linear(in_features=3703, out_features=32, bias=True)
    )
    (1): SAGEConv(
      (feat_drop): Dropout(p=0.0, inplace=False)
      (fc_self): Linear(in_features=32, out_features=6, bias=True)
      (fc_neigh): Linear(in_features=32, out_features=6, bias=True)
    )
  )
  (dropout): Dropout(p=0.0, inplace=False)
)
Epoch 00001 | Step 00015 | Loss 2.7199 | Train Acc 0.6250 | Train F1 0.2500 | Speed (seeds/sec) 2031.0707| Forward Speed (edges/sec) 14331.1751|Backward Speed (edges/sec) 9916.4355|GPU 0.0 MB
Epoch 00001 | Step 00020 | Loss 2.4849 | Train Acc 0.6875 | Train F1 0.2500 | Speed (seeds/sec) 2042.5828| Forward Speed (edges/sec) 14421.7901|Backward Speed (edges/sec) 9964.1550|GPU 0.0 MB
Epoch 00001 | Step 00025 | Loss 2.5236 | Train Acc 0.7188 | Train F1 0.2812 | Speed (seeds/sec) 2047.0023| Forward Speed (edges/sec) 14472.7495|Backward Speed (edges/sec) 9978.4297|GPU 0.0 MB
Epoch 00001 | Step 00030 | Loss 2.5395 | Train Acc 0.4375 | Train F1 0.3438 | Speed (seeds/sec) 2058.3300| Forward Speed (edges/sec) 14541.2950|Backward Speed (edges/sec) 10016.7299|GPU 0.0 MB
Epoch 00001 | Step 00035 | Loss 2.5378 | Train Acc 0.5312 | Train F1 0.3125 | Speed (seeds/sec) 2067.5665| Forward Speed (edges/sec) 14577.3798|Backward Speed (edges/sec) 10012.9338|GPU 0.0 MB
Epoch 00001 | Step 00040 | Loss 2.3660 | Train Acc 0.7500 | Train F1 0.3125 | Speed (seeds/sec) 2093.6872| Forward Speed (edges/sec) 14644.3668|Backward Speed (edges/sec) 10172.2790|GPU 0.0 MB
Epoch 00001 | Step 00045 | Loss 2.5167 | Train Acc 0.7188 | Train F1 0.2500 | Speed (seeds/sec) 2080.6267| Forward Speed (edges/sec) 14496.6160|Backward Speed (edges/sec) 10172.1142|GPU 0.0 MB
Epoch 00001 | Step 00050 | Loss 2.5594 | Train Acc 0.5625 | Train F1 0.3438 | Speed (seeds/sec) 2087.3010| Forward Speed (edges/sec) 14558.2798|Backward Speed (edges/sec) 10219.0452|GPU 0.0 MB
Epoch 00001 | Step 00055 | Loss 2.6227 | Train Acc 0.5625 | Train F1 0.2500 | Speed (seeds/sec) 2095.7179| Forward Speed (edges/sec) 14619.6557|Backward Speed (edges/sec) 10332.5475|GPU 0.0 MB
Epoch 00001 | Step 00060 | Loss 2.4682 | Train Acc 0.6250 | Train F1 0.2812 | Speed (seeds/sec) 2101.5282| Forward Speed (edges/sec) 14684.4263|Backward Speed (edges/sec) 10347.2612|GPU 0.0 MB
Epoch 00001 | Step 00065 | Loss 2.4825 | Train Acc 0.5000 | Train F1 0.2812 | Speed (seeds/sec) 2101.6114| Forward Speed (edges/sec) 14662.6657|Backward Speed (edges/sec) 10354.6344|GPU 0.0 MB
Epoch 00001 | Step 00070 | Loss 2.4044 | Train Acc 0.5938 | Train F1 0.3125 | Speed (seeds/sec) 2111.4991| Forward Speed (edges/sec) 14696.4835|Backward Speed (edges/sec) 10396.8895|GPU 0.0 MB
Epoch 00001 | Step 00075 | Loss 2.4718 | Train Acc 0.5625 | Train F1 0.4375 | Speed (seeds/sec) 2111.2273| Forward Speed (edges/sec) 14628.2446|Backward Speed (edges/sec) 10432.5183|GPU 0.0 MB
Epoch 00001 | Step 00080 | Loss 2.4084 | Train Acc 0.6250 | Train F1 0.5625 | Speed (seeds/sec) 2095.0016| Forward Speed (edges/sec) 14448.5158|Backward Speed (edges/sec) 10366.5750|GPU 0.0 MB
Epoch 00001 | Step 00085 | Loss 2.5298 | Train Acc 0.4688 | Train F1 0.4062 | Speed (seeds/sec) 2091.7562| Forward Speed (edges/sec) 14376.4814|Backward Speed (edges/sec) 10342.8840|GPU 0.0 MB
Epoch 00001 | Step 00090 | Loss 2.2745 | Train Acc 0.6250 | Train F1 0.5312 | Speed (seeds/sec) 2093.3545| Forward Speed (edges/sec) 14345.7854|Backward Speed (edges/sec) 10339.1325|GPU 0.0 MB
Epoch 00001 | Step 00095 | Loss 2.3412 | Train Acc 0.5625 | Train F1 0.4688 | Speed (seeds/sec) 2092.6689| Forward Speed (edges/sec) 14281.0578|Backward Speed (edges/sec) 10315.5496|GPU 0.0 MB
Epoch 00001 | Step 00100 | Loss 2.2000 | Train Acc 0.5938 | Train F1 0.4062 | Speed (seeds/sec) 2098.3241| Forward Speed (edges/sec) 14339.2909|Backward Speed (edges/sec) 10375.4339|GPU 0.0 MB
Epoch Time(s): 1.818264 | Total steps:  102 | Total forward time: 0.803967s | Total backward time: 0.950968s 
Epoch 00002 | Step 00000 | Loss 2.2265 | Train Acc 0.7188 | Train F1 0.6562 | Speed (seeds/sec) 2090.1066| Forward Speed (edges/sec) 14298.5109|Backward Speed (edges/sec) 10346.1770|GPU 0.0 MB
Epoch 00002 | Step 00005 | Loss 2.1283 | Train Acc 0.6250 | Train F1 0.5000 | Speed (seeds/sec) 2092.0416| Forward Speed (edges/sec) 14354.3161|Backward Speed (edges/sec) 10343.2361|GPU 0.0 MB
Epoch 00002 | Step 00010 | Loss 2.1337 | Train Acc 0.7812 | Train F1 0.5625 | Speed (seeds/sec) 2093.9475| Forward Speed (edges/sec) 14241.4799|Backward Speed (edges/sec) 10297.6805|GPU 0.0 MB
Epoch 00002 | Step 00015 | Loss 2.1740 | Train Acc 0.6562 | Train F1 0.3750 | Speed (seeds/sec) 2096.3658| Forward Speed (edges/sec) 14257.7738|Backward Speed (edges/sec) 10283.7202|GPU 0.0 MB
Epoch 00002 | Step 00020 | Loss 2.2375 | Train Acc 0.6250 | Train F1 0.3438 | Speed (seeds/sec) 2099.9348| Forward Speed (edges/sec) 14354.0290|Backward Speed (edges/sec) 10350.3354|GPU 0.0 MB
Epoch 00002 | Step 00025 | Loss 2.2744 | Train Acc 0.6875 | Train F1 0.3125 | Speed (seeds/sec) 2108.2107| Forward Speed (edges/sec) 14374.5857|Backward Speed (edges/sec) 10358.3156|GPU 0.0 MB
Epoch 00002 | Step 00030 | Loss 1.9527 | Train Acc 0.7500 | Train F1 0.3750 | Speed (seeds/sec) 2112.3251| Forward Speed (edges/sec) 14485.4545|Backward Speed (edges/sec) 10416.6952|GPU 0.0 MB
