GAT(
  (gat_layers): ModuleList(
    (0): GATConv(
      (fc): Linear(in_features=3703, out_features=256, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
    (1): GATConv(
      (fc): Linear(in_features=256, out_features=256, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
    (2): GATConv(
      (fc): Linear(in_features=256, out_features=6, bias=False)
      (feat_drop): Dropout(p=0.6, inplace=False)
      (attn_drop): Dropout(p=0.6, inplace=False)
      (leaky_relu): LeakyReLU(negative_slope=0.2)
    )
  )
)
Epoch 00029 | Time(s) 3.9236 | Loss 0.6613 | TrainAcc 0.7583 | ValAcc 0.6540 | f1-score 0.4840 |ETputs(KTEPS) 3.17| GPU : 0.0 MB 
Epoch 00030 | Time(s) 3.9131 | Loss 0.5893 | TrainAcc 0.7750 | ValAcc 0.6520 | f1-score 0.5020 |ETputs(KTEPS) 3.18| GPU : 0.0 MB 
Epoch 00031 | Time(s) 3.9017 | Loss 0.6038 | TrainAcc 0.7917 | ValAcc 0.6540 | f1-score 0.5220 |ETputs(KTEPS) 3.19| GPU : 0.0 MB 
Epoch 00032 | Time(s) 3.8811 | Loss 0.6922 | TrainAcc 0.7333 | ValAcc 0.6560 | f1-score 0.4880 |ETputs(KTEPS) 3.20| GPU : 0.0 MB 
Epoch 00033 | Time(s) 3.8473 | Loss 0.5831 | TrainAcc 0.8000 | ValAcc 0.6540 | f1-score 0.4720 |ETputs(KTEPS) 3.23| GPU : 0.0 MB 
Epoch 00034 | Time(s) 3.8432 | Loss 0.5153 | TrainAcc 0.8333 | ValAcc 0.6540 | f1-score 0.5140 |ETputs(KTEPS) 3.23| GPU : 0.0 MB 
Epoch 00035 | Time(s) 3.8229 | Loss 0.5229 | TrainAcc 0.8000 | ValAcc 0.6580 | f1-score 0.5080 |ETputs(KTEPS) 3.25| GPU : 0.0 MB 
Epoch 00036 | Time(s) 3.8162 | Loss 0.5412 | TrainAcc 0.8000 | ValAcc 0.6580 | f1-score 0.5200 |ETputs(KTEPS) 3.26| GPU : 0.0 MB 
Epoch 00037 | Time(s) 3.8083 | Loss 0.6758 | TrainAcc 0.7500 | ValAcc 0.6600 | f1-score 0.5200 |ETputs(KTEPS) 3.26| GPU : 0.0 MB 
Epoch 00038 | Time(s) 3.8047 | Loss 0.5302 | TrainAcc 0.7833 | ValAcc 0.6580 | f1-score 0.4780 |ETputs(KTEPS) 3.27| GPU : 0.0 MB 
Epoch 00039 | Time(s) 3.8007 | Loss 0.5702 | TrainAcc 0.7667 | ValAcc 0.6600 | f1-score 0.5060 |ETputs(KTEPS) 3.27| GPU : 0.0 MB 
Epoch 00040 | Time(s) 3.7951 | Loss 0.7016 | TrainAcc 0.7083 | ValAcc 0.6600 | f1-score 0.5180 |ETputs(KTEPS) 3.28| GPU : 0.0 MB 
Epoch 00041 | Time(s) 3.8033 | Loss 0.6088 | TrainAcc 0.7750 | ValAcc 0.6560 | f1-score 0.4900 |ETputs(KTEPS) 3.27| GPU : 0.0 MB 
Epoch 00042 | Time(s) 3.7949 | Loss 0.6592 | TrainAcc 0.7500 | ValAcc 0.6540 | f1-score 0.5320 |ETputs(KTEPS) 3.28| GPU : 0.0 MB 
Epoch 00043 | Time(s) 3.7961 | Loss 0.5351 | TrainAcc 0.7667 | ValAcc 0.6560 | f1-score 0.4880 |ETputs(KTEPS) 3.27| GPU : 0.0 MB 
Epoch 00044 | Time(s) 3.7784 | Loss 0.5453 | TrainAcc 0.7667 | ValAcc 0.6540 | f1-score 0.5140 |ETputs(KTEPS) 3.29| GPU : 0.0 MB 
Epoch 00045 | Time(s) 3.7777 | Loss 0.6295 | TrainAcc 0.7583 | ValAcc 0.6520 | f1-score 0.5300 |ETputs(KTEPS) 3.29| GPU : 0.0 MB 
Epoch 00046 | Time(s) 3.7610 | Loss 0.5822 | TrainAcc 0.7583 | ValAcc 0.6540 | f1-score 0.4980 |ETputs(KTEPS) 3.31| GPU : 0.0 MB 
Epoch 00047 | Time(s) 3.7494 | Loss 0.6225 | TrainAcc 0.7583 | ValAcc 0.6520 | f1-score 0.5220 |ETputs(KTEPS) 3.32| GPU : 0.0 MB 
Epoch 00048 | Time(s) 3.7476 | Loss 0.5401 | TrainAcc 0.7833 | ValAcc 0.6500 | f1-score 0.5080 |ETputs(KTEPS) 3.32| GPU : 0.0 MB 
Epoch 00049 | Time(s) 3.7510 | Loss 0.5473 | TrainAcc 0.8000 | ValAcc 0.6480 | f1-score 0.4680 |ETputs(KTEPS) 3.31| GPU : 0.0 MB 
Epoch 00050 | Time(s) 3.7415 | Loss 0.5295 | TrainAcc 0.7833 | ValAcc 0.6500 | f1-score 0.5080 |ETputs(KTEPS) 3.32| GPU : 0.0 MB 
Epoch 00051 | Time(s) 3.7419 | Loss 0.6143 | TrainAcc 0.7500 | ValAcc 0.6480 | f1-score 0.4960 |ETputs(KTEPS) 3.32| GPU : 0.0 MB 
